Date;Open;High;Low;Close
28.09.2018;116850;116860;116830;116860
28.09.2018;116860;116900;116840;116840
28.09.2018;116850;116850;116660;116670
28.09.2018;116670;116680;116610;116620
28.09.2018;116620;116620;116510;116590
28.09.2018;116600;116670;116580;116670
28.09.2018;116670;116800;116640;116780
28.09.2018;116770;116860;116710;116860
28.09.2018;116860;116870;116800;116820
28.09.2018;116810;116830;116780;116810
28.09.2018;116800;116820;116790;116820
28.09.2018;116830;116850;116810;116810
28.09.2018;116810;116840;116800;116810
28.09.2018;116810;116820;116750;116800
28.09.2018;116810;116890;116810;116860
28.09.2018;116850;116880;116790;116810
28.09.2018;116810;116820;116760;116780
28.09.2018;116780;116780;116720;116730
28.09.2018;116740;116840;116740;116800
28.09.2018;116790;116800;116750;116790
28.09.2018;116770;116820;116750;116820
28.09.2018;116810;116810;116780;116800
28.09.2018;116790;116860;116780;116860
28.09.2018;116860;116880;116840;116840
28.09.2018;116840;116850;116810;116850
28.09.2018;116860;117020;116850;117010
28.09.2018;117010;117100;117010;117070
28.09.2018;117060;117180;117030;117140
28.09.2018;117150;117180;117080;117080
28.09.2018;117090;117110;117060;117090
28.09.2018;117100;117100;117040;117100
28.09.2018;117110;117150;117090;117130
28.09.2018;117130;117160;117090;117160
28.09.2018;117140;117150;117080;117090
28.09.2018;117100;117140;117050;117050
28.09.2018;117050;117060;117020;117050
28.09.2018;117040;117160;117030;117160
28.09.2018;117160;117170;117020;117070
28.09.2018;117060;117170;117030;117130
28.09.2018;117120;117170;117120;117140
28.09.2018;117140;117140;117090;117100
28.09.2018;117090;117110;117080;117110
28.09.2018;117120;117150;117110;117110
28.09.2018;117110;117110;117050;117050
28.09.2018;117060;117110;117060;117090
28.09.2018;117100;117100;116970;116980
28.09.2018;116980;117000;116900;116960
28.09.2018;116970;116970;116750;116760
28.09.2018;116770;116880;116740;116840
28.09.2018;116830;116830;116770;116810
28.09.2018;116800;116840;116780;116790
28.09.2018;116790;116850;116760;116840
28.09.2018;116830;116890;116820;116880
28.09.2018;116890;116890;116850;116850
28.09.2018;116860;116890;116850;116860
28.09.2018;116870;116920;116850;116900
28.09.2018;116900;116930;116890;116890
28.09.2018;116890;116890;116740;116760
28.09.2018;116770;116820;116750;116770
28.09.2018;116780;116780;116700;116730
28.09.2018;116740;116780;116730;116740
28.09.2018;116750;116750;116670;116690
28.09.2018;116690;116740;116670;116730
28.09.2018;116720;116750;116690;116730
28.09.2018;116730;116750;116710;116710
28.09.2018;116720;116720;116650;116690
28.09.2018;116680;116710;116660;116700
28.09.2018;116700;116830;116690;116820
28.09.2018;116830;116840;116780;116840
28.09.2018;116840;116870;116760;116790
28.09.2018;116790;116790;116700;116710
28.09.2018;116710;116730;116620;116690
28.09.2018;116690;116710;116640;116700
28.09.2018;116690;116720;116670;116710
28.09.2018;116710;116710;116620;116620
28.09.2018;116640;116660;116620;116640
28.09.2018;116650;116740;116630;116730
28.09.2018;116720;116840;116710;116820
28.09.2018;116830;116840;116790;116800
28.09.2018;116810;116840;116770;116800
28.09.2018;116810;116860;116800;116830
28.09.2018;116830;116880;116810;116860
28.09.2018;116870;116920;116860;116910
28.09.2018;116890;116900;116820;116870
28.09.2018;116870;116900;116830;116890
28.09.2018;116890;116920;116890;116920
28.09.2018;116920;116980;116910;116980
28.09.2018;116980;117000;116930;117000
28.09.2018;117000;117000;116940;116990
28.09.2018;116980;117000;116950;116990
28.09.2018;117000;117000;116950;116970
28.09.2018;116960;116970;116930;116970
28.09.2018;116960;116960;116890;116890
28.09.2018;116900;116900;116840;116850
28.09.2018;116860;116860;116780;116780
28.09.2018;116790;116840;116760;116800
28.09.2018;116810;116830;116780;116790
28.09.2018;116780;116850;116770;116850
28.09.2018;116850;116870;116800;116840
28.09.2018;116840;116870;116840;116870
28.09.2018;116860;116890;116840;116840
28.09.2018;116840;116870;116820;116860
28.09.2018;116880;116950;116860;116920
28.09.2018;116930;116990;116900;116930
28.09.2018;116930;116980;116910;116970
28.09.2018;116960;117040;116960;117030
28.09.2018;117030;117040;116990;117020
28.09.2018;117020;117080;117010;117030
28.09.2018;117030;117150;117030;117140
28.09.2018;117140;117170;117040;117110
28.09.2018;117120;117160;117120;117150
28.09.2018;117160;117160;117100;117130
28.09.2018;117120;117200;117100;117170
28.09.2018;117160;117240;117120;117230
28.09.2018;117220;117230;117190;117200
28.09.2018;117190;117270;117180;117210
28.09.2018;117210;117230;117120;117150
28.09.2018;117160;117220;117060;117130
28.09.2018;117120;117130;117080;117120
28.09.2018;117080;117130;117080;117110
28.09.2018;117110;117130;117080;117120
28.09.2018;117130;117130;117110;117130
28.09.2018;117110;117130;117030;117040
28.09.2018;117040;117040;116940;116970
28.09.2018;116960;116980;116880;116930
28.09.2018;116940;116980;116910;116970
28.09.2018;116970;117010;116920;116920
28.09.2018;116940;116940;116780;116830
28.09.2018;116830;116880;116830;116840
28.09.2018;116860;116860;116540;116560
28.09.2018;116580;116660;116540;116650
28.09.2018;116650;116680;116610;116630
28.09.2018;116650;116650;116580;116610
28.09.2018;116620;116660;116590;116650
28.09.2018;116650;116670;116620;116640
28.09.2018;116630;116700;116590;116680
28.09.2018;116680;116700;116650;116670
28.09.2018;116660;116680;116610;116650
28.09.2018;116640;116730;116610;116720
28.09.2018;116730;116800;116720;116800
28.09.2018;116810;116810;116670;116680
28.09.2018;116680;116750;116650;116730
28.09.2018;116740;116750;116700;116750
28.09.2018;116760;116800;116720;116730
28.09.2018;116740;116750;116670;116750
28.09.2018;116750;116920;116750;116880
28.09.2018;116890;116980;116870;116880
28.09.2018;116880;116970;116860;116960
28.09.2018;116960;117000;116910;116920
28.09.2018;116920;116950;116880;116950
28.09.2018;116930;116950;116880;116910
28.09.2018;116920;116990;116910;116980
28.09.2018;116980;117010;116970;117000
28.09.2018;117010;117090;117000;117080
28.09.2018;117090;117090;116980;116980
28.09.2018;116990;117020;116880;116940
28.09.2018;116940;116940;116880;116920
28.09.2018;116900;116930;116900;116910
28.09.2018;116910;116950;116900;116940
28.09.2018;116950;116950;116910;116910
28.09.2018;116900;116980;116900;116950
28.09.2018;116950;116970;116880;116920
28.09.2018;116880;116900;116760;116870
28.09.2018;116870;116890;116810;116820
28.09.2018;116810;116820;116760;116780
28.09.2018;116760;116860;116720;116850
28.09.2018;116860;116940;116790;116790
28.09.2018;116790;116840;116790;116830
28.09.2018;116840;116870;116810;116830
28.09.2018;116820;116820;116750;116770
28.09.2018;116770;116800;116680;116750
28.09.2018;116750;116840;116720;116820
28.09.2018;116830;116960;116820;116900
28.09.2018;116910;116920;116880;116900
28.09.2018;116900;117000;116900;116940
28.09.2018;116950;116960;116910;116930
28.09.2018;116950;116990;116940;116960
28.09.2018;116970;117030;116930;117000
28.09.2018;116990;117050;116990;117040
28.09.2018;117040;117130;117040;117100
28.09.2018;117090;117140;117060;117140
28.09.2018;117140;117170;117080;117090
28.09.2018;117080;117090;116960;116980
28.09.2018;116980;116990;116850;116960
28.09.2018;116950;117000;116870;116920
28.09.2018;116930;116970;116900;116950
28.09.2018;116960;116980;116850;116850
28.09.2018;116850;116900;116830;116880
28.09.2018;116880;116880;116860;116880
28.09.2018;116870;116880;116840;116880
28.09.2018;116860;116910;116830;116840
28.09.2018;116850;116850;116790;116840
28.09.2018;116840;116890;116830;116880
28.09.2018;116870;116890;116790;116850
